from,to,reason
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-cleaning-window-glass-squeak-7044.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-cleaning-window-glass-squeak-7044.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-filling-glass-various-sounds-68575.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-filling-glass-various-sounds-68575.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-bell-43738 (1).mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\freesound_community-glass-bell-43738 (1).mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-bell-43738 (2).mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\freesound_community-glass-bell-43738 (2).mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-bell-43738.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-bell-43738.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-bottle-clink-90671.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-bottle-clink-90671.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-clink-57538.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-clink-57538.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-clink-pack-62708.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-clink-pack-62708.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-clinking-92385.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-clinking-92385.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-cup-set-down-71326.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-cup-set-down-71326.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-ding-33653.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-ding-33653.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-ding-85786 (1).mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\freesound_community-glass-ding-85786 (1).mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-ding-85786.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-ding-85786.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-dishes-73559.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-dishes-73559.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-door-77604.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-door-77604.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-knock-71787.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-knock-71787.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-on-table-movement-29170.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-on-table-movement-29170.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-ting-89283.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-ting-89283.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-glass-wipe-75164.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-glass-wipe-75164.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-ice-faling-into-glass-sfx-105431.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-ice-faling-into-glass-sfx-105431.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-pill-bottle-glass-26605.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-pill-bottle-glass-26605.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-shimmer-glass-81711.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-shimmer-glass-81711.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-shot-glass-clink-toast-26861.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-shot-glass-clink-toast-26861.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-spill-glass-99791.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-spill-glass-99791.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-standing-on-broken-glass-67303.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-standing-on-broken-glass-67303.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-tapping-on-glass-31920.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-tapping-on-glass-31920.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-wine-glass-74398.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-wine-glass-74398.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-wine-glass-clink-36036.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-wine-glass-clink-36036.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\lordsonny-glass-cinematic-hit-161212 (1).mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\lordsonny-glass-cinematic-hit-161212 (1).mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\lordsonny-glass-cinematic-hit-161212.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\lordsonny-glass-cinematic-hit-161212.mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\scottishperson-sound-effect-woman-scream-and-glass-breaking-236490.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\scottishperson-sound-effect-woman-scream-and-glass-breaking-236490.mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\soundreality-bottle-glass-hit-4-580256.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\soundreality-bottle-glass-hit-4-580256.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\universfield-glass-hit-192119.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\universfield-glass-hit-192119.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\voicebosch-wine-glass-tapping-183789.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\voicebosch-wine-glass-tapping-183789.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_11325622-glass-breaking-sound-effect-240679.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_11325622-glass-breaking-sound-effect-240679.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_276939__gladkiy__breaking_glass_mirror_audio_technica_mb2k.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_276939__gladkiy__breaking_glass_mirror_audio_technica_mb2k.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_465946__alterkartoffelsack__glass-breaking.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_465946__alterkartoffelsack__glass-breaking.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_521348__zxaudiocraft__zxaudiocraft-glass-misc-003.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_521348__zxaudiocraft__zxaudiocraft-glass-misc-003.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_54789481-cup-of-water-pour-into-glass-cup-water-flows-into-glass-water-490991.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_54789481-cup-of-water-pour-into-glass-cup-water-flows-into-glass-water-490991.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_54789481-cup-of-water-pour-into-glass-cup-water-flows-into-glass-water-490991__1_.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_54789481-cup-of-water-pour-into-glass-cup-water-flows-into-glass-water-490991__1_.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_853695__alexzavesa__breaking-glass-1.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_853695__alexzavesa__breaking-glass-1.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_853696__alexzavesa__breaking-glass-2.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_853696__alexzavesa__breaking-glass-2.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_853697__alexzavesa__breaking-glass-3.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_853697__alexzavesa__breaking-glass-3.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_853698__alexzavesa__breaking-glass-4.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_853698__alexzavesa__breaking-glass-4.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_853699__alexzavesa__breaking-glass-5.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_853699__alexzavesa__breaking-glass-5.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_853700__alexzavesa__breaking-glass-6.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_853700__alexzavesa__breaking-glass-6.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_853701__alexzavesa__breaking-glass-7.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_853701__alexzavesa__breaking-glass-7.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_853702__alexzavesa__breaking-glass-8.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_853702__alexzavesa__breaking-glass-8.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_853703__alexzavesa__breaking-glass-9.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_853703__alexzavesa__breaking-glass-9.wav,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_861044__elevatorfan2020__hard-glass-break-3.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_861044__elevatorfan2020__hard-glass-break-3.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_alice_soundz-glass-breaking-224091.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_alice_soundz-glass-breaking-224091.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_arunangshubanerjee-cutting-glass-sheet-short-glass-scoring-sound-358250.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_arunangshubanerjee-cutting-glass-sheet-short-glass-scoring-sound-358250.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_charlie_raven-glass-breaking-93803.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_charlie_raven-glass-breaking-93803.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_derrickmckinnon-pouring-soda-in-glass-220307.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_derrickmckinnon-pouring-soda-in-glass-220307.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_derrickmckinnon-pouring-soda-in-glass-220307__1_.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_derrickmckinnon-pouring-soda-in-glass-220307__1_.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_derrickmckinnon-pouring-soda-in-glass-220307__2_.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_derrickmckinnon-pouring-soda-in-glass-220307__2_.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_dragon-studio-glass-breaking-386153.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_dragon-studio-glass-breaking-386153.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_dragon-studio-glass-breaking-504033.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_dragon-studio-glass-breaking-504033.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_dragon-studio-glass-breaking-511313.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_dragon-studio-glass-breaking-511313.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_dragon-studio-glass-breaking-511313__1_.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_dragon-studio-glass-breaking-511313__1_.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_dragon-studio-glass-cracking-511310.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_dragon-studio-glass-cracking-511310.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_dragon-studio-glass-shattering-504035.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_dragon-studio-glass-shattering-504035.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_dragon-studio-glass-shattering-511316.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_dragon-studio-glass-shattering-511316.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_eaglaxle-glass-shattering-461637.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_eaglaxle-glass-shattering-461637.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_floraphonic-empty-glass-table-foley-slide-9-237635.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_floraphonic-empty-glass-table-foley-slide-9-237635.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-breaking-glass-83809.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-breaking-glass-83809.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-breaking-glass-83809__1_.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-breaking-glass-83809__1_.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-breaking-glass-88411.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-breaking-glass-88411.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-breaking-glass-with-feet-45176.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-breaking-glass-with-feet-45176.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-cleaning-window-glass-squeak-7044.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-cleaning-window-glass-squeak-7044.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-falling-glass-42739.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-falling-glass-42739.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-filling-glass-various-sounds-68575.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-filling-glass-various-sounds-68575.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-bell-43738.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-bell-43738.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-bell-43738__1_.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-bell-43738__1_.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-bell-43738__2_.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-bell-43738__2_.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-bottle-clink-90671.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-bottle-clink-90671.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-break-2-80964.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-break-2-80964.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-break-3-102271.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-break-3-102271.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-breaking-94894.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-breaking-94894.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-breaking-99389.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-breaking-99389.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-broken-43626.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-broken-43626.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-clink-57538.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-clink-57538.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-clink-pack-62708.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-clink-pack-62708.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-clinking-92385.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-clinking-92385.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-cup-set-down-71326.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-cup-set-down-71326.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-ding-33653.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-ding-33653.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-ding-85786.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-ding-85786.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-ding-85786__1_.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-ding-85786__1_.mp3,old imported copy
