audio_id,label,action
AUD-006305,"Background Noise","delete"
AUD-006308,"Background Noise","move:Panic Scream"
AUD-006369,"Background Noise","move:Panic Scream"
AUD-006372,"Background Noise","move:Panic Scream"
AUD-006635,"Background Noise","delete"
AUD-006704,"Background Noise","move:Background Noise"
AUD-001716,"Vehicle Horn","move:Vehicle Horn"
AUD-001823,"Vehicle Horn","move:Vehicle Horn"
AUD-001472,"Alarm or Siren","delete"
AUD-002521,"Animal Sound","delete"
AUD-002590,"Animal Sound","delete"
AUD-002630,"Animal Sound","delete"
AUD-002652,"Animal Sound","move:Animal Sound"
AUD-002249,"Animal Sound","move:Animal Sound"
AUD-001842,"Vehicle Horn","delete"
AUD-001922,"Animal Sound","delete"
AUD-006574,"Background Noise","delete"
AUD-006585,"Background Noise","move:Animal Sound"
AUD-006606,"Background Noise","delete"
AUD-006609,"Background Noise","move:Panic Scream"
AUD-002429,"Animal Sound","delete"
AUD-002479,"Animal Sound","delete"
AUD-006379,"Background Noise","delete"
AUD-006382,"Background Noise","delete"
AUD-006384,"Background Noise","delete"
AUD-006397,"Background Noise","delete"
AUD-002201,"Animal Sound","move:Animal Sound"
AUD-002207,"Animal Sound","move:Animal Sound"
AUD-006458,"Background Noise","delete"
AUD-006490,"Background Noise","move:Background Noise"
AUD-002122,"Animal Sound","move:Animal Sound"
AUD-001945,"Animal Sound","move:Background Noise"
AUD-001994,"Animal Sound","move:Animal Sound"
AUD-006500,"Background Noise","delete"
AUD-006521,"Background Noise","move:Panic Scream"
AUD-006523,"Background Noise","delete"
AUD-006549,"Background Noise","keep"
AUD-000542,"Glass Breaking","move:Glass Breaking"
AUD-000547,"Glass Breaking","move:Glass Breaking"
AUD-006847,"Background Noise","delete"
AUD-006862,"Background Noise","delete"
AUD-006887,"Background Noise","delete"
AUD-006782,"Background Noise","delete"
AUD-006800,"Background Noise","delete"
AUD-000812,"Alarm or Siren","move:Background Noise"
AUD-006505,"Background Noise","delete"
AUD-006534,"Background Noise","delete"
AUD-006532,"Background Noise","move:Background Noise"
AUD-001981,"Animal Sound","move:Animal Sound"
AUD-002037,"Animal Sound","move:Animal Sound"
AUD-005212,"Person Asking for Help","delete"
AUD-002101,"Animal Sound","delete"
AUD-002094,"Animal Sound","delete"
AUD-002053,"Animal Sound","delete"
AUD-006499,"Background Noise","delete"
AUD-006854,"Background Noise","delete"
AUD-005636,"Background Noise","delete"
AUD-000689,"Alarm or Siren","delete"
AUD-006799,"Background Noise","move:Background Noise"
AUD-000652,"Alarm or Siren","move:Alarm or Siren"
AUD-005588,"Background Noise","delete"
AUD-005489,"Background Noise","delete"
AUD-004276,"Panic Scream","move:Background Noise"
AUD-004409,"Panic Scream","move:Panic Scream"
AUD-004311,"Panic Scream","move:Panic Scream"
AUD-004685,"Panic Scream","move:Panic Scream"
AUD-005806,"Background Noise","delete"
AUD-002529,"Animal Sound","delete"
AUD-006338,"Background Noise","delete"
AUD-006668,"Background Noise","delete"
AUD-001364,"Alarm or Siren","delete"
AUD-001491,"Vehicle Horn","move:Vehicle Horn"
AUD-004754,"Panic Scream","move:Panic Scream"
AUD-004758,"Panic Scream","move:Panic Scream"
AUD-006381,"Background Noise","move:Panic Scream"
AUD-002373,"Animal Sound","move:Animal Sound"
AUD-006461,"Background Noise","delete"
AUD-002199,"Animal Sound","move:Animal Sound"
AUD-002163,"Animal Sound","move:Animal Sound"
AUD-005084,"Aggression","move:Aggression"
AUD-005855,"Background Noise","move:Background Noise"
AUD-004224,"Panic Scream","move:Panic Scream"
AUD-004271,"Panic Scream","delete"
AUD-006895,"Background Noise","delete"
AUD-001523,"Vehicle Horn","move:Vehicle Horn"
AUD-006745,"Background Noise","delete"
AUD-004196,"Panic Scream","delete"
AUD-005887,"Background Noise","move:Background Noise"
AUD-005787,"Background Noise","delete"
AUD-005870,"Background Noise","move:Background Noise"
AUD-000636,"Alarm or Siren","move:Alarm or Siren"
AUD-006424,"Background Noise","delete"
AUD-004610,"Panic Scream","move:Panic Scream"
AUD-004942,"Aggression","delete"
AUD-006452,"Background Noise","delete"
AUD-005156,"Aggression","move:Aggression"
AUD-005185,"Aggression","delete"
AUD-000561,"Glass Breaking","move:Glass Breaking"
AUD-002064,"Animal Sound","move:Animal Sound"
AUD-006501,"Background Noise","delete"
AUD-000619,"Glass Breaking","move:Glass Breaking"
AUD-001628,"Vehicle Horn","delete"
AUD-006524,"Background Noise","delete"
AUD-002098,"Animal Sound","move:Animal Sound"
AUD-004547,"Panic Scream","move:Panic Scream"
AUD-001495,"Vehicle Horn","delete"
AUD-005181,"Aggression","delete"
AUD-006414,"Background Noise","delete"
AUD-002184,"Animal Sound","move:Animal Sound"
AUD-006720,"Background Noise","delete"
AUD-004098,"Gunshot","delete"
AUD-005812,"Background Noise","move:Background Noise"
AUD-005199,"Person Asking for Help","delete"
AUD-002564,"Animal Sound","move:Background Noise"
AUD-000657,"Alarm or Siren","move:Alarm or Siren"
AUD-001518,"Vehicle Horn","move:Vehicle Horn"
AUD-005623,"Background Noise","move:Background Noise"
AUD-004072,"Gunshot","move:Gunshot"
AUD-005037,"Aggression","move:Aggression"
AUD-006274,"Background Noise","move:Panic Scream"
AUD-002185,"Animal Sound","move:Animal Sound"
AUD-004935,"Aggression","move:Aggression"
AUD-005699,"Background Noise","move:Background Noise"
AUD-000109,"Machinery Fault","move:Machinery Fault"
AUD-005465,"Background Noise","move:Background Noise"
AUD-002119,"Animal Sound","move:Animal Sound"
AUD-005481,"Background Noise","move:Background Noise"
AUD-000563,"Glass Breaking","move:Glass Breaking"
AUD-004431,"Panic Scream","move:Panic Scream"
AUD-005012,"Aggression","move:Aggression"
AUD-006901,"Background Noise","move:Background Noise"
AUD-004240,"Panic Scream","move:Panic Scream"
AUD-002178,"Animal Sound","delete"
AUD-005609,"Background Noise","move:Animal Sound"
AUD-006478,"Background Noise","delete"
AUD-002217,"Animal Sound","move:Animal Sound"
AUD-006750,"Background Noise","move:Background Noise"
AUD-001299,"Alarm or Siren","move:Alarm or Siren"
AUD-002263,"Animal Sound","delete"
AUD-006817,"Background Noise","delete"
AUD-001508,"Vehicle Horn","move:Vehicle Horn"
AUD-005967,"Background Noise","move:Animal Sound"
AUD-006691,"Background Noise","delete"
AUD-001784,"Vehicle Horn","move:Vehicle Horn"
AUD-004923,"Aggression","move:Aggression"
AUD-001843,"Vehicle Horn","delete"
AUD-006611,"Background Noise","move:Panic Scream"
AUD-006719,"Background Noise","delete"
AUD-006324,"Background Noise","delete"
AUD-006407,"Background Noise","delete"
AUD-004730,"Panic Scream","move:Panic Scream"
AUD-006910,"Background Noise","delete"
AUD-006553,"Background Noise","move:Background Noise"
AUD-006539,"Background Noise","move:Panic Scream"
AUD-006882,"Background Noise","delete"
AUD-001309,"Alarm or Siren","delete"
AUD-005762,"Background Noise","move:Background Noise"
AUD-004370,"Panic Scream","delete"
AUD-000565,"Glass Breaking","move:Glass Breaking"
AUD-000603,"Glass Breaking","move:Glass Breaking"
AUD-005572,"Background Noise","delete"
AUD-005816,"Background Noise","move:Background Noise"
AUD-004537,"Panic Scream","delete"
AUD-006442,"Background Noise","move:Panic Scream"
AUD-005186,"Aggression","delete"
AUD-005446,"Background Noise","move:Background Noise"
AUD-001830,"Vehicle Horn","move:Vehicle Horn"
AUD-006563,"Background Noise","delete"
AUD-006008,"Background Noise","move:Glass Breaking"
AUD-000658,"Alarm or Siren","move:Alarm or Siren"
AUD-004559,"Panic Scream","delete"
AUD-006356,"Background Noise","delete"
AUD-005471,"Background Noise","move:Background Noise"
AUD-001460,"Alarm or Siren","move:Alarm or Siren"
AUD-006798,"Background Noise","move:Background Noise"
AUD-001999,"Animal Sound","move:Animal Sound"
AUD-004327,"Panic Scream","delete"
AUD-005082,"Aggression","delete"
AUD-000892,"Alarm or Siren","move:Alarm or Siren"
AUD-005780,"Background Noise","delete"
AUD-002220,"Animal Sound","move:Animal Sound"
AUD-006550,"Background Noise","delete"
AUD-000610,"Glass Breaking","move:Glass Breaking"
AUD-006791,"Background Noise","delete"
AUD-006731,"Background Noise","delete"
AUD-006220,"Background Noise","move:Machinery Fault"
AUD-006766,"Background Noise","move:Machinery Fault"
AUD-004177,"Panic Scream","move:Panic Scream"
AUD-006443,"Background Noise","delete"
AUD-002638,"Animal Sound","delete"
AUD-004787,"Panic Scream","move:Panic Scream"
AUD-001435,"Alarm or Siren","delete"
AUD-006157,"Background Noise","delete"
AUD-006266,"Background Noise","delete"
AUD-006721,"Background Noise","delete"
AUD-005854,"Background Noise","move:Background Noise"
AUD-004751,"Panic Scream","delete"
AUD-005985,"Background Noise","delete"
AUD-001487,"Vehicle Horn","move:Vehicle Horn"
AUD-002407,"Animal Sound","move:Animal Sound"
AUD-005498,"Background Noise","move:Background Noise"
AUD-005957,"Background Noise","delete"
AUD-001799,"Vehicle Horn","delete"
AUD-004953,"Aggression","move:Aggression"
AUD-006427,"Background Noise","delete"
AUD-001506,"Vehicle Horn","move:Vehicle Horn"
AUD-000686,"Alarm or Siren","move:Alarm or Siren"
AUD-006772,"Background Noise","move:Background Noise"
AUD-005595,"Background Noise","move:Background Noise"
AUD-005963,"Background Noise","move:Background Noise"
AUD-001850,"Vehicle Horn","move:Vehicle Horn"
AUD-004301,"Panic Scream","delete"
AUD-005971,"Background Noise","move:Background Noise"
AUD-001576,"Vehicle Horn","move:Vehicle Horn"
AUD-004856,"Panic Scream","delete"
AUD-002036,"Animal Sound","move:Animal Sound"
AUD-005701,"Background Noise","move:Background Noise"
AUD-006759,"Background Noise","move:Background Noise"
AUD-001859,"Vehicle Horn","move:Vehicle Horn"
AUD-006551,"Background Noise","delete"
AUD-001912,"Animal Sound","move:Animal Sound"
AUD-002030,"Animal Sound","delete"
AUD-002716,"Animal Sound","delete"
AUD-000650,"Alarm or Siren","move:Alarm or Siren"
AUD-002516,"Animal Sound","move:Animal Sound"
AUD-005822,"Background Noise","move:Background Noise"
AUD-005190,"Aggression","move:Aggression"
AUD-002761,"Animal Sound","move:Animal Sound"
AUD-006342,"Background Noise","delete"
AUD-006005,"Background Noise","move:Background Noise"
AUD-006755,"Background Noise","delete"
AUD-000112,"Machinery Fault","delete"
AUD-006804,"Background Noise","move:Background Noise"
AUD-002268,"Animal Sound","move:Animal Sound"
AUD-003645,"Gunshot","move:Gunshot"
AUD-002218,"Animal Sound","move:Animal Sound"
AUD-005593,"Background Noise","move:Background Noise"
AUD-001527,"Vehicle Horn","move:Vehicle Horn"
AUD-000741,"Alarm or Siren","delete"
AUD-001948,"Animal Sound","move:Animal Sound"
AUD-006280,"Background Noise","delete"
AUD-005814,"Background Noise","move:Background Noise"
AUD-004722,"Panic Scream","delete"
AUD-002627,"Animal Sound","delete"
AUD-000214,"Machinery Fault","delete"
AUD-005180,"Aggression","delete"
AUD-004284,"Panic Scream","move:Panic Scream"
AUD-001826,"Vehicle Horn","move:Background Noise"
AUD-005606,"Background Noise","move:Background Noise"
