audio_id,class_label,split,quality,duration
AUD-000070,Machinery Fault,train,Acceptable,10.0
AUD-000071,Machinery Fault,train,Acceptable,10.0
AUD-000072,Machinery Fault,train,Acceptable,10.0
AUD-000073,Machinery Fault,train,Acceptable,10.0
AUD-000074,Machinery Fault,train,Acceptable,10.0
AUD-000075,Machinery Fault,test,Acceptable,10.0
AUD-000076,Machinery Fault,test,Acceptable,10.0
AUD-000077,Machinery Fault,train,Acceptable,10.0
AUD-000078,Machinery Fault,val,Acceptable,10.0
AUD-000079,Machinery Fault,val,Good,10.0
AUD-000080,Machinery Fault,train,Good,10.0
AUD-000081,Machinery Fault,test,Good,10.0
AUD-000082,Machinery Fault,test,Good,10.0
AUD-000083,Machinery Fault,train,Good,10.0
AUD-000084,Machinery Fault,train,Good,10.0
AUD-000085,Machinery Fault,train,Good,10.0
AUD-000086,Machinery Fault,test,Good,10.0
AUD-000087,Machinery Fault,test,Good,10.0
AUD-000088,Machinery Fault,test,Good,10.0
AUD-000089,Machinery Fault,train,Good,10.0
AUD-000090,Machinery Fault,train,Good,10.0
AUD-000091,Machinery Fault,train,Good,10.0
AUD-000092,Machinery Fault,train,Good,10.0
AUD-000093,Machinery Fault,val,Acceptable,10.0
AUD-000094,Machinery Fault,train,Acceptable,10.0
AUD-000095,Machinery Fault,val,Acceptable,10.0
AUD-000096,Machinery Fault,val,Acceptable,10.0
AUD-000097,Machinery Fault,train,Acceptable,10.0
AUD-000098,Machinery Fault,test,Acceptable,10.0
AUD-000099,Machinery Fault,train,Acceptable,10.0
AUD-000100,Machinery Fault,train,Acceptable,10.0
AUD-000101,Machinery Fault,train,Acceptable,10.0
AUD-000102,Machinery Fault,train,Acceptable,10.0
AUD-000103,Machinery Fault,train,Acceptable,10.0
AUD-000104,Machinery Fault,train,Acceptable,10.0
AUD-000105,Machinery Fault,test,Acceptable,10.0
AUD-000106,Machinery Fault,train,Acceptable,10.0
AUD-000107,Machinery Fault,train,Acceptable,10.0
AUD-000108,Machinery Fault,train,Acceptable,10.0
AUD-000109,Machinery Fault,train,Acceptable,10.0
AUD-000110,Machinery Fault,test,Acceptable,10.0
AUD-000111,Machinery Fault,train,Acceptable,10.0
AUD-000112,Machinery Fault,train,Acceptable,10.0
AUD-000113,Machinery Fault,train,Acceptable,10.0
AUD-000114,Machinery Fault,val,Acceptable,10.0
AUD-000115,Machinery Fault,train,Acceptable,10.0
AUD-000116,Machinery Fault,train,Acceptable,10.0
AUD-000117,Machinery Fault,train,Acceptable,10.0
AUD-000118,Machinery Fault,train,Acceptable,10.0
AUD-000119,Machinery Fault,val,Acceptable,10.0
AUD-000120,Machinery Fault,val,Acceptable,10.0
AUD-000121,Machinery Fault,train,Acceptable,10.0
AUD-000122,Machinery Fault,train,Acceptable,10.0
AUD-000123,Machinery Fault,train,Acceptable,10.0
AUD-000124,Machinery Fault,train,Acceptable,10.0
AUD-000125,Machinery Fault,train,Acceptable,10.0
AUD-000126,Machinery Fault,train,Acceptable,10.0
AUD-000127,Machinery Fault,train,Acceptable,10.0
AUD-000128,Machinery Fault,test,Acceptable,10.0
AUD-000129,Machinery Fault,test,Acceptable,10.0
AUD-000130,Machinery Fault,train,Acceptable,10.0
AUD-000131,Machinery Fault,train,Acceptable,10.0
AUD-000132,Machinery Fault,train,Acceptable,10.0
AUD-000133,Machinery Fault,train,Acceptable,10.0
AUD-000134,Machinery Fault,val,Acceptable,10.0
AUD-000135,Machinery Fault,train,Acceptable,10.0
AUD-000136,Machinery Fault,train,Acceptable,10.0
AUD-000137,Machinery Fault,train,Acceptable,10.0
AUD-000138,Machinery Fault,train,Acceptable,10.0
AUD-000139,Glass Breaking,train,Acceptable,5.0
AUD-000140,Glass Breaking,train,Acceptable,5.0
AUD-000141,Glass Breaking,train,Acceptable,5.0
AUD-000142,Glass Breaking,test,Acceptable,5.0
AUD-000143,Glass Breaking,train,Acceptable,5.0
AUD-000144,Glass Breaking,test,Acceptable,5.0
AUD-000145,Glass Breaking,test,Acceptable,5.0
AUD-000146,Glass Breaking,train,Acceptable,5.0
AUD-000147,Glass Breaking,val,Acceptable,5.0
AUD-000148,Glass Breaking,train,Good,5.0
AUD-000149,Glass Breaking,train,Good,5.0
AUD-000150,Glass Breaking,train,Acceptable,5.0
AUD-000151,Glass Breaking,train,Good,5.0
AUD-000152,Glass Breaking,train,Acceptable,5.0
AUD-000153,Glass Breaking,val,Good,5.0
AUD-000154,Glass Breaking,train,Acceptable,5.0
AUD-000155,Glass Breaking,train,Acceptable,5.0
AUD-000156,Glass Breaking,test,Acceptable,5.0
AUD-000157,Glass Breaking,train,Acceptable,5.0
AUD-000158,Glass Breaking,test,Acceptable,5.0
AUD-000159,Glass Breaking,val,Acceptable,5.0
AUD-000160,Glass Breaking,train,Acceptable,5.0
AUD-000161,Glass Breaking,train,Acceptable,5.0
AUD-000162,Glass Breaking,train,Acceptable,5.0
AUD-000163,Glass Breaking,train,Acceptable,5.0
AUD-000164,Glass Breaking,train,Acceptable,5.0
AUD-000165,Glass Breaking,test,Acceptable,5.0
AUD-000166,Glass Breaking,train,Acceptable,5.0
AUD-000167,Glass Breaking,train,Poor,5.0
AUD-000168,Glass Breaking,train,Poor,5.0
AUD-000169,Glass Breaking,train,Poor,5.0
AUD-000170,Glass Breaking,train,Acceptable,5.0
AUD-000171,Glass Breaking,val,Acceptable,5.0
AUD-000172,Glass Breaking,train,Acceptable,5.0
AUD-000173,Glass Breaking,train,Acceptable,5.0
AUD-000174,Glass Breaking,val,Acceptable,5.0
AUD-000175,Glass Breaking,val,Poor,5.0
AUD-000176,Glass Breaking,train,Acceptable,5.0
AUD-000177,Glass Breaking,train,Acceptable,5.0
AUD-000178,Glass Breaking,train,Acceptable,5.0
AUD-000179,Alarm or Siren,val,Good,5.0
AUD-000180,Alarm or Siren,train,Good,5.0
AUD-000181,Alarm or Siren,train,Acceptable,5.0
AUD-000182,Alarm or Siren,val,Good,5.0
AUD-000183,Alarm or Siren,val,Good,5.0
AUD-000184,Alarm or Siren,val,Good,5.0
AUD-000185,Alarm or Siren,train,Good,5.0
AUD-000186,Alarm or Siren,train,Acceptable,5.0
AUD-000187,Alarm or Siren,train,Poor,5.0
AUD-000188,Alarm or Siren,train,Good,5.0
AUD-000189,Alarm or Siren,train,Good,5.0
AUD-000190,Alarm or Siren,train,Good,5.0
AUD-000191,Alarm or Siren,test,Good,5.0
AUD-000192,Alarm or Siren,train,Good,5.0
AUD-000193,Alarm or Siren,train,Good,5.0
AUD-000194,Alarm or Siren,train,Acceptable,5.0
AUD-000195,Alarm or Siren,val,Acceptable,5.0
AUD-000196,Alarm or Siren,test,Good,5.0
AUD-000197,Alarm or Siren,train,Good,5.0
AUD-000198,Alarm or Siren,val,Good,5.0
AUD-000199,Alarm or Siren,train,Good,5.0
AUD-000200,Alarm or Siren,train,Acceptable,5.0
AUD-000201,Alarm or Siren,train,Acceptable,5.0
AUD-000202,Alarm or Siren,train,Acceptable,5.0
AUD-000203,Alarm or Siren,train,Good,5.0
AUD-000204,Alarm or Siren,test,Acceptable,5.0
AUD-000205,Alarm or Siren,val,Good,5.0
AUD-000206,Alarm or Siren,train,Good,5.0
AUD-000207,Alarm or Siren,train,Acceptable,5.0
AUD-000208,Alarm or Siren,train,Acceptable,5.0
AUD-000209,Alarm or Siren,train,Acceptable,5.0
AUD-000210,Alarm or Siren,train,Good,5.0
AUD-000211,Alarm or Siren,train,Acceptable,5.0
AUD-000212,Alarm or Siren,train,Good,5.0
AUD-000213,Alarm or Siren,val,Good,5.0
AUD-000214,Alarm or Siren,val,Good,5.0
AUD-000215,Alarm or Siren,val,Poor,5.0
AUD-000216,Alarm or Siren,train,Good,5.0
AUD-000217,Alarm or Siren,val,Good,5.0
AUD-000218,Alarm or Siren,train,Good,5.0
AUD-000219,Alarm or Siren,train,Good,5.0
AUD-000220,Alarm or Siren,train,Good,5.0
AUD-000221,Alarm or Siren,train,Acceptable,5.0
AUD-000222,Alarm or Siren,train,Good,5.0
AUD-000223,Alarm or Siren,train,Poor,5.0
AUD-000224,Alarm or Siren,test,Good,5.0
AUD-000225,Alarm or Siren,test,Good,5.0
AUD-000226,Alarm or Siren,train,Acceptable,5.0
AUD-000227,Alarm or Siren,test,Good,5.0
AUD-000228,Alarm or Siren,train,Good,5.0
AUD-000229,Alarm or Siren,test,Good,5.0
AUD-000230,Alarm or Siren,train,Good,5.0
AUD-000231,Alarm or Siren,test,Poor,5.0
AUD-000232,Alarm or Siren,val,Good,5.0
AUD-000233,Alarm or Siren,train,Good,5.0
AUD-000234,Alarm or Siren,train,Good,5.0
AUD-000235,Alarm or Siren,train,Good,5.0
AUD-000236,Alarm or Siren,val,Good,5.0
AUD-000237,Alarm or Siren,train,Good,5.0
AUD-000238,Alarm or Siren,val,Acceptable,5.0
AUD-000239,Alarm or Siren,train,Acceptable,5.0
AUD-000240,Alarm or Siren,train,Poor,5.0
AUD-000241,Alarm or Siren,val,Good,5.0
AUD-000242,Alarm or Siren,train,Good,5.0
AUD-000243,Alarm or Siren,train,Good,5.0
AUD-000244,Alarm or Siren,train,Good,5.0
AUD-000245,Alarm or Siren,train,Good,5.0
AUD-000246,Alarm or Siren,train,Good,5.0
AUD-000247,Alarm or Siren,train,Good,5.0
AUD-000248,Alarm or Siren,train,Good,5.0
AUD-000249,Alarm or Siren,train,Good,5.0
AUD-000250,Alarm or Siren,train,Good,5.0
AUD-000251,Alarm or Siren,train,Good,5.0
AUD-000252,Alarm or Siren,train,Good,5.0
AUD-000253,Alarm or Siren,train,Good,5.0
AUD-000254,Alarm or Siren,train,Good,5.0
AUD-000255,Alarm or Siren,train,Poor,5.0
AUD-000256,Alarm or Siren,train,Poor,5.0
AUD-000257,Alarm or Siren,train,Good,5.0
AUD-000258,Alarm or Siren,train,Poor,5.0
AUD-000259,Alarm or Siren,train,Good,4.0
AUD-000260,Alarm or Siren,train,Good,4.0
AUD-000261,Alarm or Siren,train,Good,4.0
AUD-000262,Alarm or Siren,train,Good,4.0
AUD-000263,Alarm or Siren,train,Good,4.0
AUD-000264,Alarm or Siren,train,Good,4.0
AUD-000265,Alarm or Siren,train,Good,4.0
AUD-000266,Alarm or Siren,train,Good,4.0
AUD-000267,Alarm or Siren,train,Good,4.0
AUD-000268,Alarm or Siren,train,Good,4.0
AUD-000269,Alarm or Siren,train,Good,4.0
AUD-000270,Alarm or Siren,test,Acceptable,4.0
AUD-000271,Alarm or Siren,train,Acceptable,4.0
AUD-000272,Alarm or Siren,train,Good,4.0
AUD-000273,Alarm or Siren,val,Good,4.0
AUD-000274,Alarm or Siren,train,Good,4.0
AUD-000275,Alarm or Siren,test,Good,4.0
AUD-000276,Alarm or Siren,train,Good,4.0
AUD-000277,Alarm or Siren,test,Acceptable,4.0
AUD-000278,Alarm or Siren,train,Acceptable,4.0
AUD-000279,Alarm or Siren,val,Acceptable,4.0
AUD-000280,Alarm or Siren,train,Acceptable,4.0
AUD-000281,Alarm or Siren,test,Acceptable,4.0
AUD-000282,Alarm or Siren,val,Good,4.0
AUD-000283,Alarm or Siren,train,Good,4.0
AUD-000284,Alarm or Siren,test,Good,4.0
AUD-000285,Alarm or Siren,train,Good,4.0
AUD-000286,Alarm or Siren,test,Good,4.0
AUD-000287,Alarm or Siren,train,Good,4.0
AUD-000288,Alarm or Siren,train,Good,4.0
AUD-000289,Alarm or Siren,train,Good,4.0
AUD-000290,Alarm or Siren,train,Good,4.0
AUD-000291,Alarm or Siren,train,Good,4.0
AUD-000292,Alarm or Siren,val,Good,4.0
AUD-000293,Alarm or Siren,train,Good,4.0
AUD-000294,Alarm or Siren,test,Good,4.0
AUD-000295,Alarm or Siren,test,Good,4.0
AUD-000296,Alarm or Siren,train,Good,4.0
AUD-000297,Alarm or Siren,train,Good,4.0
AUD-000298,Alarm or Siren,test,Good,4.0
AUD-000299,Alarm or Siren,train,Good,4.0
AUD-000300,Alarm or Siren,test,Good,4.0
AUD-000301,Alarm or Siren,train,Good,4.0
AUD-000302,Alarm or Siren,val,Good,4.0
AUD-000303,Alarm or Siren,val,Good,4.0
AUD-000304,Alarm or Siren,train,Good,4.0
AUD-000305,Alarm or Siren,test,Good,4.0
AUD-000306,Alarm or Siren,test,Good,4.0
AUD-000307,Alarm or Siren,val,Good,4.0
AUD-000308,Alarm or Siren,train,Good,4.0
AUD-000309,Alarm or Siren,train,Good,4.0
AUD-000310,Alarm or Siren,train,Good,4.0
AUD-000311,Alarm or Siren,train,Good,4.0
AUD-000312,Alarm or Siren,train,Good,4.0
AUD-000313,Alarm or Siren,train,Good,4.0
AUD-000314,Alarm or Siren,train,Good,4.0
AUD-000315,Alarm or Siren,train,Good,4.0
AUD-000316,Alarm or Siren,train,Good,4.0
AUD-000317,Alarm or Siren,train,Good,4.0
AUD-000318,Alarm or Siren,train,Acceptable,4.0
AUD-000319,Alarm or Siren,train,Acceptable,4.0
AUD-000320,Alarm or Siren,val,Good,4.0
AUD-000321,Alarm or Siren,val,Good,4.0
AUD-000322,Alarm or Siren,val,Good,4.0
AUD-000323,Alarm or Siren,val,Acceptable,4.0
AUD-000324,Alarm or Siren,train,Acceptable,4.0
AUD-000325,Alarm or Siren,test,Acceptable,4.0
AUD-000326,Alarm or Siren,train,Acceptable,4.0
AUD-000327,Alarm or Siren,train,Good,4.0
AUD-000328,Alarm or Siren,val,Acceptable,4.0
AUD-000329,Alarm or Siren,val,Good,4.0
AUD-000330,Alarm or Siren,train,Acceptable,4.0
AUD-000331,Alarm or Siren,test,Acceptable,4.0
AUD-000332,Alarm or Siren,train,Good,4.0
AUD-000333,Alarm or Siren,val,Acceptable,4.0
AUD-000334,Alarm or Siren,train,Acceptable,4.0
AUD-000335,Alarm or Siren,train,Good,4.0
AUD-000336,Alarm or Siren,test,Good,4.0
AUD-000337,Alarm or Siren,train,Acceptable,4.0
AUD-000338,Alarm or Siren,train,Good,4.0
AUD-000339,Alarm or Siren,val,Good,4.0
AUD-000340,Alarm or Siren,train,Good,4.0
AUD-000341,Alarm or Siren,train,Good,4.0
AUD-000342,Alarm or Siren,train,Good,4.0
AUD-000343,Alarm or Siren,train,Acceptable,4.0
AUD-000344,Alarm or Siren,train,Good,4.0
AUD-000345,Alarm or Siren,train,Good,4.0
AUD-000346,Alarm or Siren,train,Good,4.0
AUD-000347,Alarm or Siren,train,Good,4.0
AUD-000348,Alarm or Siren,val,Good,4.0
AUD-000349,Alarm or Siren,train,Good,4.0
AUD-000350,Alarm or Siren,test,Good,4.0
AUD-000351,Alarm or Siren,test,Good,4.0
AUD-000352,Alarm or Siren,val,Good,4.0
AUD-000353,Alarm or Siren,train,Good,4.0
AUD-000354,Alarm or Siren,val,Good,4.0
AUD-000355,Alarm or Siren,train,Good,4.0
AUD-000356,Alarm or Siren,train,Poor,4.0
AUD-000357,Alarm or Siren,train,Acceptable,4.0
AUD-000358,Alarm or Siren,test,Poor,4.0
AUD-000359,Alarm or Siren,test,Poor,4.0
AUD-000360,Alarm or Siren,train,Poor,4.0
AUD-000361,Alarm or Siren,train,Acceptable,4.0
AUD-000362,Alarm or Siren,train,Poor,4.0
AUD-000363,Alarm or Siren,train,Poor,4.0
AUD-000364,Alarm or Siren,test,Poor,4.0
AUD-000365,Alarm or Siren,train,Good,0.928
AUD-000366,Alarm or Siren,val,Good,0.59
AUD-000367,Alarm or Siren,train,Good,4.0
AUD-000368,Alarm or Siren,val,Good,4.0
AUD-000369,Alarm or Siren,val,Good,4.0
AUD-000370,Alarm or Siren,test,Good,4.0
AUD-000371,Alarm or Siren,train,Good,4.0
AUD-000372,Alarm or Siren,train,Good,4.0
AUD-000373,Alarm or Siren,train,Good,4.0
AUD-000374,Alarm or Siren,test,Good,4.0
AUD-000375,Alarm or Siren,train,Good,4.0
AUD-000376,Alarm or Siren,train,Good,4.0
AUD-000377,Alarm or Siren,train,Good,4.0
AUD-000378,Alarm or Siren,train,Good,4.0
AUD-000379,Alarm or Siren,train,Good,4.0
AUD-000380,Alarm or Siren,train,Good,4.0
AUD-000381,Alarm or Siren,train,Good,4.0
AUD-000382,Alarm or Siren,train,Good,4.0
AUD-000383,Alarm or Siren,train,Good,4.0
AUD-000384,Alarm or Siren,train,Good,4.0
AUD-000385,Alarm or Siren,train,Good,4.0
AUD-000386,Alarm or Siren,train,Good,4.0
AUD-000387,Alarm or Siren,train,Good,4.0
AUD-000388,Alarm or Siren,train,Good,4.0
AUD-000389,Alarm or Siren,train,Good,4.0
AUD-000390,Alarm or Siren,train,Good,4.0
AUD-000391,Alarm or Siren,train,Good,4.0
AUD-000392,Alarm or Siren,train,Good,4.0
AUD-000393,Alarm or Siren,val,Good,4.0
AUD-000394,Alarm or Siren,train,Good,4.0
AUD-000395,Alarm or Siren,train,Good,4.0
AUD-000396,Alarm or Siren,train,Good,4.0
AUD-000397,Alarm or Siren,train,Good,4.0
AUD-000398,Alarm or Siren,test,Good,4.0
AUD-000399,Alarm or Siren,train,Good,4.0
AUD-000400,Alarm or Siren,train,Good,4.0
AUD-000401,Alarm or Siren,test,Good,4.0
AUD-000402,Alarm or Siren,train,Good,4.0
AUD-000403,Alarm or Siren,train,Good,4.0
AUD-000404,Alarm or Siren,test,Good,4.0
AUD-000405,Alarm or Siren,train,Good,4.0
AUD-000406,Alarm or Siren,train,Poor,4.0
AUD-000407,Alarm or Siren,test,Poor,4.0
AUD-000408,Alarm or Siren,train,Poor,4.0
AUD-000409,Alarm or Siren,train,Good,4.0
AUD-000410,Alarm or Siren,train,Good,4.0
AUD-000411,Alarm or Siren,val,Poor,4.0
AUD-000412,Alarm or Siren,train,Poor,4.0
AUD-000413,Alarm or Siren,train,Poor,4.0
AUD-000414,Alarm or Siren,train,Poor,4.0
AUD-000415,Alarm or Siren,train,Poor,4.0
AUD-000416,Alarm or Siren,train,Poor,4.0
AUD-000417,Alarm or Siren,val,Good,4.0
AUD-000418,Alarm or Siren,train,Good,4.0
AUD-000419,Alarm or Siren,train,Poor,4.0
AUD-000420,Alarm or Siren,train,Poor,4.0
AUD-000421,Alarm or Siren,train,Acceptable,4.0
AUD-000422,Alarm or Siren,train,Good,4.0
AUD-000423,Alarm or Siren,train,Good,1.408
AUD-000424,Alarm or Siren,test,Acceptable,4.0
AUD-000425,Alarm or Siren,val,Poor,4.0
AUD-000426,Alarm or Siren,train,Poor,4.0
AUD-000427,Alarm or Siren,train,Good,4.0
AUD-000428,Alarm or Siren,train,Good,4.0
AUD-000429,Alarm or Siren,train,Good,4.0
AUD-000430,Alarm or Siren,train,Poor,4.0
AUD-000431,Alarm or Siren,val,Poor,4.0
AUD-000432,Alarm or Siren,train,Poor,4.0
AUD-000433,Alarm or Siren,train,Poor,4.0
AUD-000434,Alarm or Siren,test,Good,4.0
AUD-000435,Alarm or Siren,train,Good,4.0
AUD-000436,Alarm or Siren,train,Good,4.0
AUD-000437,Alarm or Siren,train,Good,4.0
AUD-000438,Alarm or Siren,train,Good,4.0
AUD-000439,Alarm or Siren,train,Good,4.0
AUD-000440,Alarm or Siren,val,Good,4.0
AUD-000441,Alarm or Siren,train,Good,4.0
AUD-000442,Alarm or Siren,val,Good,4.0
AUD-000443,Alarm or Siren,train,Good,4.0
AUD-000444,Alarm or Siren,train,Good,4.0
AUD-000445,Alarm or Siren,train,Good,4.0
AUD-000446,Alarm or Siren,train,Poor,4.0
AUD-000447,Alarm or Siren,val,Poor,4.0
AUD-000448,Alarm or Siren,train,Good,4.0
AUD-000449,Alarm or Siren,val,Acceptable,4.0
AUD-000450,Alarm or Siren,train,Good,4.0
AUD-000451,Alarm or Siren,val,Good,4.0
AUD-000452,Alarm or Siren,train,Good,4.0
AUD-000453,Alarm or Siren,val,Good,4.0
AUD-000454,Alarm or Siren,train,Good,4.0
AUD-000455,Alarm or Siren,test,Good,4.0
AUD-000456,Alarm or Siren,train,Good,4.0
AUD-000457,Alarm or Siren,test,Good,4.0
AUD-000458,Alarm or Siren,test,Good,4.0
AUD-000459,Alarm or Siren,test,Good,4.0
AUD-000460,Alarm or Siren,train,Good,4.0
AUD-000461,Alarm or Siren,test,Good,4.0
AUD-000462,Alarm or Siren,val,Good,4.0
AUD-000463,Alarm or Siren,train,Good,4.0
AUD-000464,Alarm or Siren,val,Good,4.0
AUD-000465,Alarm or Siren,train,Good,4.0
AUD-000466,Alarm or Siren,test,Good,4.0
AUD-000467,Alarm or Siren,train,Good,0.966
AUD-000468,Alarm or Siren,test,Good,4.0
AUD-000469,Alarm or Siren,train,Good,4.0
AUD-000470,Alarm or Siren,train,Good,4.0
AUD-000471,Alarm or Siren,train,Good,4.0
AUD-000472,Alarm or Siren,train,Good,4.0
AUD-000473,Alarm or Siren,train,Good,4.0
AUD-000474,Alarm or Siren,train,Good,0.696
AUD-000475,Alarm or Siren,train,Good,3.015
AUD-000476,Alarm or Siren,train,Good,4.0
AUD-000477,Alarm or Siren,test,Poor,4.0
AUD-000478,Alarm or Siren,train,Acceptable,4.0
AUD-000479,Alarm or Siren,train,Acceptable,4.0
AUD-000480,Alarm or Siren,val,Acceptable,4.0
AUD-000481,Alarm or Siren,train,Acceptable,4.0
AUD-000482,Alarm or Siren,val,Good,4.0
AUD-000483,Alarm or Siren,val,Good,4.0
AUD-000484,Alarm or Siren,test,Good,4.0
AUD-000485,Alarm or Siren,train,Acceptable,4.0
AUD-000486,Alarm or Siren,val,Acceptable,4.0
AUD-000487,Alarm or Siren,train,Good,1.975
AUD-000488,Alarm or Siren,train,Good,4.0
AUD-000489,Alarm or Siren,test,Good,4.0
AUD-000490,Alarm or Siren,train,Good,4.0
AUD-000491,Alarm or Siren,test,Good,4.0
AUD-000492,Alarm or Siren,test,Good,4.0
AUD-000493,Alarm or Siren,train,Good,4.0
AUD-000494,Alarm or Siren,test,Acceptable,4.0
AUD-000495,Alarm or Siren,val,Acceptable,1.488
AUD-000496,Alarm or Siren,test,Acceptable,1.64
AUD-000497,Alarm or Siren,test,Acceptable,1.526
AUD-000498,Alarm or Siren,train,Good,4.0
AUD-000499,Alarm or Siren,test,Good,4.0
AUD-000500,Alarm or Siren,val,Good,4.0
AUD-000501,Alarm or Siren,val,Good,4.0
AUD-000502,Alarm or Siren,train,Good,4.0
AUD-000503,Alarm or Siren,train,Good,4.0
AUD-000504,Alarm or Siren,val,Good,4.0
AUD-000505,Alarm or Siren,train,Good,4.0
AUD-000506,Alarm or Siren,train,Good,4.0
AUD-000507,Alarm or Siren,train,Good,4.0
AUD-000508,Alarm or Siren,train,Good,4.0
AUD-000509,Alarm or Siren,train,Good,4.0
AUD-000510,Alarm or Siren,train,Good,4.0
AUD-000511,Alarm or Siren,train,Good,4.0
AUD-000512,Alarm or Siren,train,Good,4.0
AUD-000513,Alarm or Siren,train,Good,4.0
AUD-000514,Alarm or Siren,train,Acceptable,4.0
AUD-000515,Alarm or Siren,train,Acceptable,4.0
AUD-000516,Alarm or Siren,train,Good,4.0
AUD-000517,Alarm or Siren,train,Good,4.0
AUD-000518,Alarm or Siren,train,Good,4.0
AUD-000519,Alarm or Siren,train,Good,4.0
AUD-000520,Alarm or Siren,val,Good,4.0
AUD-000521,Alarm or Siren,test,Good,4.0
AUD-000522,Alarm or Siren,train,Good,4.0
AUD-000523,Alarm or Siren,train,Good,4.0
AUD-000524,Alarm or Siren,train,Good,4.0
AUD-000525,Alarm or Siren,train,Good,4.0
AUD-000526,Alarm or Siren,train,Good,4.0
AUD-000527,Alarm or Siren,val,Good,4.0
AUD-000528,Alarm or Siren,val,Good,4.0
AUD-000529,Alarm or Siren,train,Good,4.0
AUD-000530,Alarm or Siren,train,Good,4.0
AUD-000531,Alarm or Siren,train,Good,4.0
AUD-000532,Alarm or Siren,test,Good,4.0
AUD-000533,Alarm or Siren,test,Good,4.0
AUD-000534,Alarm or Siren,train,Good,4.0
AUD-000535,Alarm or Siren,train,Good,4.0
AUD-000536,Alarm or Siren,train,Good,4.0
AUD-000537,Alarm or Siren,train,Good,4.0
AUD-000538,Alarm or Siren,test,Good,4.0
AUD-000539,Alarm or Siren,train,Good,4.0
AUD-000540,Alarm or Siren,train,Good,4.0
AUD-000541,Alarm or Siren,train,Good,4.0
AUD-000542,Alarm or Siren,train,Good,4.0
