file,reason
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159750-8-0-7.wav,unusable: Silent or near-silent recording; Very low signal strength (-66 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159750-8-0-8.wav,unusable: Silent or near-silent recording; Very low signal strength (-67 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_43805-8-1-0.wav,unusable: Too short (0.28s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_43805-8-2-0.wav,unusable: Too short (0.26s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_43805-8-3-0.wav,unusable: Too short (0.36s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_43805-8-4-0.wav,unusable: Too short (0.43s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_100648-1-2-0.wav,unusable: Too short (0.41s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_118070-1-0-0.wav,unusable: Too short (0.23s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_118496-1-0-0.wav,unusable: Too short (0.26s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_118496-1-1-0.wav,unusable: Too short (0.19s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_132073-1-2-0.wav,unusable: Too short (0.37s < 0.5s); Very low signal strength (-51 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_132073-1-6-0.wav,unusable: Too short (0.37s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_143115-1-3-0.wav,unusable: Too short (0.45s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_143115-1-4-0.wav,unusable: Too short (0.35s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_151359-1-0-0.wav,unusable: Too short (0.14s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_151359-1-1-0.wav,unusable: Too short (0.16s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_151359-1-2-0.wav,unusable: Too short (0.10s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_151359-1-3-0.wav,unusable: Too short (0.11s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_155129-1-0-0.wav,unusable: Too short (0.10s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_155129-1-1-0.wav,unusable: Too short (0.16s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_155130-1-0-0.wav,unusable: Too short (0.17s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_156194-1-0-0.wav,unusable: Too short (0.25s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_162540-1-0-0.wav,unusable: Too short (0.36s < 0.5s); Some clipping (0.58% of samples)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_162540-1-1-0.wav,unusable: Too short (0.31s < 0.5s); Some clipping (0.40% of samples)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_162540-1-2-0.wav,unusable: Too short (0.47s < 0.5s); Severe clipping (1.0% of samples)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_162541-1-0-0.wav,unusable: Too short (0.49s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_162541-1-1-0.wav,unusable: Too short (0.45s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_162541-1-2-0.wav,unusable: Too short (0.44s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_162702-1-0-0.wav,unusable: Too short (0.11s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_162728-1-0-0.wav,unusable: Too short (0.42s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_164625-1-0-0.wav,unusable: Too short (0.47s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_170243-1-0-0.wav,unusable: Too short (0.10s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_17124-1-0-0.wav,unusable: Too short (0.24s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_171249-1-2-0.wav,unusable: Too short (0.30s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_17307-1-0-0.wav,unusable: Too short (0.06s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_175842-1-0-0.wav,unusable: Too short (0.48s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_175853-1-0-0.wav,unusable: Too short (0.28s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_175856-1-0-0.wav,unusable: Too short (0.27s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_175856-1-1-0.wav,unusable: Too short (0.30s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_176634-1-0-0.wav,unusable: Too short (0.27s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_178115-1-0-0.wav,unusable: Too short (0.46s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_179858-1-0-0.wav,unusable: Too short (0.35s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_179862-1-0-0.wav,unusable: Too short (0.38s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_179866-1-0-0.wav,unusable: Too short (0.49s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_180156-1-12-0.wav,unusable: Too short (0.21s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_180156-1-2-0.wav,unusable: Too short (0.28s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_180156-1-7-0.wav,unusable: Too short (0.25s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_180156-1-9-0.wav,unusable: Too short (0.35s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_18594-1-0-0.wav,unusable: Too short (0.44s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_18594-1-2-0.wav,unusable: Too short (0.20s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_18594-1-3-0.wav,unusable: Too short (0.24s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_18594-1-4-0.wav,unusable: Too short (0.22s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_18594-1-5-0.wav,unusable: Too short (0.32s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_18594-1-6-0.wav,unusable: Too short (0.44s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_187356-1-0-0.wav,unusable: Too short (0.37s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_18933-1-0-0.wav,unusable: Too short (0.31s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_26177-1-0-0.wav,unusable: Too short (0.25s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_26185-1-0-0.wav,unusable: Too short (0.33s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_26185-1-1-0.wav,unusable: Too short (0.36s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_26186-1-0-0.wav,unusable: Too short (0.39s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_27068-1-0-0.wav,unusable: Too short (0.22s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_2937-1-0-0.wav,unusable: Too short (0.47s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_32417-1-0-0.wav,unusable: Too short (0.35s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_43802-1-0-0.wav,unusable: Too short (0.18s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_43802-1-1-0.wav,unusable: Too short (0.20s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_43802-1-2-0.wav,unusable: Too short (0.24s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_43803-1-0-0.wav,unusable: Too short (0.18s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_44278-1-1-0.wav,unusable: Too short (0.34s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_45256-1-0-0.wav,unusable: Too short (0.28s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_52102-1-0-0.wav,unusable: Too short (0.42s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_57607-1-0-0.wav,unusable: Too short (0.50s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_6984-1-0-0.wav,unusable: Too short (0.44s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_71309-1-1-0.wav,unusable: Too short (0.45s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_71309-1-2-0.wav,unusable: Too short (0.32s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_71439-1-1-0.wav,unusable: Too short (0.21s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_83488-1-1-0.wav,unusable: Too short (0.29s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_87275-1-0-0.wav,unusable: Too short (0.15s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_87275-1-1-0.wav,unusable: Too short (0.05s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_87275-1-2-0.wav,unusable: Too short (0.05s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_87275-1-3-0.wav,unusable: Too short (0.06s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_87275-1-4-0.wav,unusable: Too short (0.07s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_87275-1-5-0.wav,unusable: Too short (0.11s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_94868-1-0-0.wav,unusable: Too short (0.35s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_94868-1-1-0.wav,unusable: Too short (0.39s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Vehicle Horn\us8k_94868-1-2-0.wav,unusable: Too short (0.37s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_100032-3-0-0.wav,unusable: Too short (0.32s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_102103-3-1-0.wav,unusable: Too short (0.39s < 0.5s); Low signal strength (-39 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_103076-3-2-0.wav,unusable: Too short (0.45s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_108187-3-2-0.wav,unusable: Too short (0.50s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_113785-3-0-0.wav,unusable: Too short (0.44s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_115535-3-0-0.wav,unusable: Too short (0.49s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_116163-3-0-0.wav,unusable: Too short (0.27s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_116163-3-1-0.wav,unusable: Too short (0.41s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_11722-3-1-0.wav,unusable: Too short (0.44s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_131199-3-0-0.wav,unusable: Too short (0.29s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_142641-3-0-0.wav,unusable: Too short (0.38s < 0.5s); Severe clipping (1.2% of samples)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_144885-3-0-0.wav,unusable: Too short (0.26s < 0.5s); 1 missing-frame gap(s) detected
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_147672-3-0-0.wav,unusable: Too short (0.35s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_147672-3-1-0.wav,unusable: Too short (0.46s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_147672-3-2-0.wav,unusable: Too short (0.38s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_150341-3-0-0.wav,unusable: Too short (0.49s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_150341-3-1-0.wav,unusable: Too short (0.45s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_160092-3-0-0.wav,unusable: Too short (0.13s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_160093-3-0-0.wav,unusable: Too short (0.12s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_160094-3-0-0.wav,unusable: Too short (0.19s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_162148-3-0-0.wav,unusable: Too short (0.45s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_166268-3-0-0.wav,unusable: Too short (0.24s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_166268-3-2-0.wav,unusable: Too short (0.21s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_17810-3-0-0.wav,unusable: Too short (0.38s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_203128-3-3-0.wav,unusable: Too short (0.45s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_24965-3-3-0.wav,unusable: Too short (0.48s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_26255-3-0-0.wav,unusable: Too short (0.25s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_33849-3-0-0.wav,unusable: Too short (0.26s < 0.5s); Low signal strength (-43 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_4201-3-0-0.wav,unusable: Too short (0.25s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_4201-3-1-0.wav,unusable: Too short (0.28s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_4201-3-2-0.wav,unusable: Too short (0.35s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_43784-3-0-0.wav,unusable: Too short (0.18s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_43786-3-1-0.wav,unusable: Too short (0.39s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_43787-3-3-0.wav,unusable: Too short (0.42s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_47926-3-1-0.wav,unusable: Too short (0.44s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_4911-3-0-0.wav,unusable: Too short (0.21s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_4912-3-0-0.wav,unusable: Too short (0.23s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_4912-3-1-0.wav,unusable: Too short (0.34s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_4912-3-2-0.wav,unusable: Too short (0.32s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_4912-3-3-0.wav,unusable: Too short (0.28s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_4918-3-0-0.wav,unusable: Too short (0.37s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_4918-3-3-0.wav,unusable: Too short (0.42s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_51022-3-29-0.wav,unusable: Too short (0.46s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_52171-3-2-0.wav,unusable: Too short (0.49s < 0.5s); Low signal strength (-39 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_52171-3-3-0.wav,unusable: Too short (0.40s < 0.5s); Low signal strength (-39 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_66587-3-1-0.wav,unusable: Too short (0.35s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_66587-3-3-0.wav,unusable: Too short (0.49s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_89207-3-0-0.wav,unusable: Too short (0.36s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_9031-3-1-0.wav,unusable: Too short (0.42s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Animal Sound\us8k_9032-3-0-0.wav,unusable: Too short (0.35s < 0.5s)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__11_.wav,exact duplicate of gun_M16_5__11_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__12_.wav,exact duplicate of gun_M16_5__12_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__14_.wav,exact duplicate of gun_M16_5__14_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__15_.wav,exact duplicate of gun_M16_5__15_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__16_.wav,exact duplicate of gun_M16_5__16_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__17_.wav,exact duplicate of gun_M16_5__17_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__18_.wav,exact duplicate of gun_M16_5__18_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__21_.wav,exact duplicate of gun_M16_5__21_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__22_.wav,exact duplicate of gun_M16_5__22_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__24_.wav,exact duplicate of gun_M16_5__24_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__26_.wav,exact duplicate of gun_M16_5__26_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__31_.wav,exact duplicate of gun_M16_5__31_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__33_.wav,exact duplicate of gun_M16_5__33_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__34_.wav,exact duplicate of gun_M16_5__34_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__35_.wav,exact duplicate of gun_M16_5__35_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__36_.wav,exact duplicate of gun_M16_5__36_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__38_.wav,exact duplicate of gun_M16_5__38_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__41_.wav,exact duplicate of gun_M16_5__41_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__43_.wav,exact duplicate of gun_M16_5__43_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__44_.wav,exact duplicate of gun_M16_5__44_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__45_.wav,exact duplicate of gun_M16_5__45_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__47_.wav,exact duplicate of gun_M16_5__47_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__48_.wav,exact duplicate of gun_M16_5__48_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__49_.wav,exact duplicate of gun_M16_5__49_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__4_.wav,exact duplicate of gun_M16_5__4_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__51_.wav,exact duplicate of gun_M16_5__51_.wav
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\gun_M4_4__52_.wav,exact duplicate of gun_M16_5__52_.wav
